text,aspect,v,a,id,category,opinion,source
"bought this on may , barely used it and now 4 months later it ' s randomly shutting down every few minutes .",NULL,4.12,4.88,laptop_quad_dev_33,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
pros : lightweight and looks nice .,NULL,7.0,7.0,laptop_quad_dev_34,LAPTOP#PORTABILITY,pros,eng_laptop_train_alltasks
pros : lightweight and looks nice .,NULL,7.12,7.12,laptop_quad_dev_34,LAPTOP#PORTABILITY,lightweight,eng_laptop_train_alltasks
pros : lightweight and looks nice .,NULL,6.88,6.88,laptop_quad_dev_34,LAPTOP#GENERAL,pros,eng_laptop_train_alltasks
pros : lightweight and looks nice .,NULL,6.88,7.0,laptop_quad_dev_34,LAPTOP#GENERAL,nice,eng_laptop_train_alltasks
this computer is loud !,computer,4.0,5.25,laptop_quad_dev_35,LAPTOP#DESIGN_FEATURES,loud,eng_laptop_train_alltasks
"i am so disgusted and disheartened by my dealings with asus support , it ' s hard to believe .",asus support,2.12,7.62,laptop_quad_dev_36,SUPPORT#QUALITY,so disgusted,eng_laptop_train_alltasks
"i am so disgusted and disheartened by my dealings with asus support , it ' s hard to believe .",asus support,2.25,7.5,laptop_quad_dev_36,SUPPORT#QUALITY,disheartened,eng_laptop_train_alltasks
returned because had it less than a month and it decided to go crazy and start typing by its self ect .,NULL,3.75,6.25,laptop_quad_dev_37,LAPTOP#OPERATION_PERFORMANCE,crazy,eng_laptop_train_alltasks
this computer has wasted so much of my time already .,computer,4.12,5.25,laptop_quad_dev_38,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
it still is nice looking with a textured cover and being black overall .,NULL,6.62,6.5,laptop_quad_dev_39,LAPTOP#DESIGN_FEATURES,nice,eng_laptop_train_alltasks
it opens programs immediately .,NULL,7.38,7.0,laptop_quad_dev_40,OS#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
i do not think i will need to upgrade the ram .,ram,5.25,5.12,laptop_quad_dev_41,MEMORY#GENERAL,NULL,eng_laptop_train_alltasks
acer made a winner here !,acer,7.62,7.25,laptop_quad_dev_42,LAPTOP#GENERAL,winner,eng_laptop_train_alltasks
buy this computer and you ' ll be very happy with it .,computer,7.3,7.3,laptop_quad_dev_43,LAPTOP#PRICE,very happy,eng_laptop_train_alltasks
+ backlight kb and travel feels pretty nice on the keys .,backlight kb,6.62,6.62,laptop_quad_dev_44,KEYBOARD#OPERATION_PERFORMANCE,pretty nice,eng_laptop_train_alltasks
+ backlight kb and travel feels pretty nice on the keys .,keys,6.75,6.75,laptop_quad_dev_44,KEYBOARD#OPERATION_PERFORMANCE,pretty nice,eng_laptop_train_alltasks
- an optical drive if you ever want to play a classic game or watch a dvd .,optical drive,6.3,6.2,laptop_quad_dev_45,OPTICAL_DRIVES#GENERAL,NULL,eng_laptop_train_alltasks
the ports were another thing that i was really excited to see fully included on a laptop in this price range .,ports,7.83,7.83,laptop_quad_dev_46,PORTS#GENERAL,really excited,eng_laptop_train_alltasks
the ports were another thing that i was really excited to see fully included on a laptop in this price range .,laptop,5.0,5.0,laptop_quad_dev_46,LAPTOP#PRICE,NULL,eng_laptop_train_alltasks
"i ' ve been happy being able to plug in and run overwatch from time to time on this laptop , with higher settings .",laptop,7.38,7.38,laptop_quad_dev_47,LAPTOP#DESIGN_FEATURES,happy,eng_laptop_train_alltasks
this is the best laptop for the price .,laptop,7.25,7.12,laptop_quad_dev_48,LAPTOP#PRICE,best,eng_laptop_train_alltasks
i like that it ' s got the 8th generation i5 cpu .,8th generation i5 cpu,6.38,6.5,laptop_quad_dev_49,CPU#GENERAL,like,eng_laptop_train_alltasks
dedicated graphics card,graphics card,7.12,7.25,laptop_quad_dev_50,GRAPHICS#GENERAL,dedicated,eng_laptop_train_alltasks
the plastic that borders the screen kind of comes out ever so slightly .,screen,5.0,5.0,laptop_quad_dev_51,DISPLAY#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
it ' s pretty fast for a laptop especially a laptop in this price point .,laptop,6.75,6.5,laptop_quad_dev_52,LAPTOP#OPERATION_PERFORMANCE,pretty fast,eng_laptop_train_alltasks
it ' s pretty fast for a laptop especially a laptop in this price point .,NULL,5.5,5.25,laptop_quad_dev_52,LAPTOP#PRICE,NULL,eng_laptop_train_alltasks
i would knock a star for the hard drive size since it ' s incredibly small but at this price you can easily pick up large one to add if you want to and it ' s not like you aren ' t warned when you buy it .,hard drive size,5.3,6.0,laptop_quad_dev_53,HARD_DISK#MISCELLANEOUS,incredibly small,eng_laptop_train_alltasks
the picture clarity is amazing and the backlit keyboard is awesome .,picture clarity,7.88,8.0,laptop_quad_dev_54,DISPLAY#QUALITY,amazing,eng_laptop_train_alltasks
the picture clarity is amazing and the backlit keyboard is awesome .,backlit keyboard,8.12,8.38,laptop_quad_dev_54,KEYBOARD#DESIGN_FEATURES,awesome,eng_laptop_train_alltasks
"overall , this budget laptop ticks all the boxes and there is nothing on the market that is new with so many features crammed in at this price .",budget laptop,6.25,6.25,laptop_quad_dev_55,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
can ' t beat it for the price .,NULL,5.8,5.8,laptop_quad_dev_56,LAPTOP#PRICE,NULL,eng_laptop_train_alltasks
also love that access to the hd / ssd and ram slots is really easy .,ram slots,7.62,7.5,laptop_quad_dev_57,MEMORY#DESIGN_FEATURES,really easy,eng_laptop_train_alltasks
also love that access to the hd / ssd and ram slots is really easy .,hd / ssd,7.62,7.62,laptop_quad_dev_57,MEMORY#DESIGN_FEATURES,so love,eng_laptop_train_alltasks
acer seems to be the only one who puts together stuff like this .,acer,6.38,6.38,laptop_quad_dev_58,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
the bluetooth connects easily to everything .,bluetooth,5.88,5.62,laptop_quad_dev_59,MULTIMEDIA_DEVICES#CONNECTIVITY,NULL,eng_laptop_train_alltasks
it boots in seconds although i usually just leave it on constantly .,boots,5.12,5.5,laptop_quad_dev_60,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
"- the battery life is excellent ( i get 6 - 8 hours of normal university student usage out of it ) and even when i ' m using it , it charges as fast as my phone .",battery life,7.83,7.83,laptop_quad_dev_61,BATTERY#OPERATION_PERFORMANCE,excellent,eng_laptop_train_alltasks
"- the battery life is excellent ( i get 6 - 8 hours of normal university student usage out of it ) and even when i ' m using it , it charges as fast as my phone .",battery life,7.33,7.5,laptop_quad_dev_61,BATTERY#OPERATION_PERFORMANCE,fast,eng_laptop_train_alltasks
"however , other than video calls it does really well .",NULL,6.75,6.75,laptop_quad_dev_62,LAPTOP#GENERAL,really well,eng_laptop_train_alltasks
- the spacebar is finicky .,spacebar,3.62,5.75,laptop_quad_dev_63,KEYBOARD#DESIGN_FEATURES,finicky,eng_laptop_train_alltasks
the chromebook has instant connection and a hugely impressive 8 - hour battery life when left on .,chromebook,6.0,5.5,laptop_quad_dev_64,LAPTOP#CONNECTIVITY,NULL,eng_laptop_train_alltasks
the chromebook has instant connection and a hugely impressive 8 - hour battery life when left on .,battery life,8.25,8.0,laptop_quad_dev_64,BATTERY#OPERATION_PERFORMANCE,hugely impressive,eng_laptop_train_alltasks
i just got it today and i love it !,NULL,8.12,8.0,laptop_quad_dev_65,LAPTOP#GENERAL,love,eng_laptop_train_alltasks
"if you are in the google echo system , then this is great .",google echo system,7.25,7.38,laptop_quad_dev_66,SOFTWARE#GENERAL,great,eng_laptop_train_alltasks
works great !,NULL,7.33,7.5,laptop_quad_dev_67,LAPTOP#GENERAL,great,eng_laptop_train_alltasks
he loves it .,NULL,7.75,7.62,laptop_quad_dev_68,LAPTOP#GENERAL,loves,eng_laptop_train_alltasks
"a great chromebook at a very reasonable price , includes the google play store .",chromebook,7.38,7.5,laptop_quad_dev_69,LAPTOP#GENERAL,great,eng_laptop_train_alltasks
"a great chromebook at a very reasonable price , includes the google play store .",chromebook,7.0,7.25,laptop_quad_dev_69,LAPTOP#PRICE,very reasonable,eng_laptop_train_alltasks
"that being said , my son loves it .",NULL,7.0,6.88,laptop_quad_dev_70,LAPTOP#GENERAL,loves,eng_laptop_train_alltasks
"this is a functional laptop , perfect for work and casual internet browsing .",laptop,7.33,7.33,laptop_quad_dev_71,LAPTOP#OPERATION_PERFORMANCE,functional,eng_laptop_train_alltasks
"this is a functional laptop , perfect for work and casual internet browsing .",laptop,8.0,7.83,laptop_quad_dev_71,LAPTOP#OPERATION_PERFORMANCE,perfect,eng_laptop_train_alltasks
"great computer and great value , our second chromebook and first one still doing fine just needed another for family .",computer,6.38,6.25,laptop_quad_dev_72,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
"great computer and great value , our second chromebook and first one still doing fine just needed another for family .",computer,6.38,6.25,laptop_quad_dev_72,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
i wanted an inexpensive chromebook and this fit the bill .,chromebook,7.17,7.5,laptop_quad_dev_73,LAPTOP#PRICE,inexpensive,eng_laptop_train_alltasks
set up is take out of box and open cover .,set up,5.25,5.12,laptop_quad_dev_74,LAPTOP#USABILITY,NULL,eng_laptop_train_alltasks
works great .,NULL,7.5,7.5,laptop_quad_dev_75,LAPTOP#OPERATION_PERFORMANCE,great,eng_laptop_train_alltasks
"i loved mine , so i got her the same one .",NULL,7.62,7.75,laptop_quad_dev_76,LAPTOP#GENERAL,loved,eng_laptop_train_alltasks
can ' t really find a viewing angle where all of it looks right at the same time .,NULL,4.25,5.38,laptop_quad_dev_77,DISPLAY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
very easy to set up .,set up,7.3,7.3,laptop_quad_dev_78,LAPTOP#USABILITY,very easy,eng_laptop_train_alltasks
the chromebook was packaged well and we saw no defects ( ours was used ) .,chromebook,6.5,6.5,laptop_quad_dev_79,SHIPPING#QUALITY,well,eng_laptop_train_alltasks
the chromebook was packaged well and we saw no defects ( ours was used ) .,chromebook,7.25,7.12,laptop_quad_dev_79,SHIPPING#QUALITY,no defects,eng_laptop_train_alltasks
it is a basic little laptop and i love it .,laptop,7.1,7.0,laptop_quad_dev_80,LAPTOP#GENERAL,love,eng_laptop_train_alltasks
"the battery life is incredible and literally lasts all day , not to mention it charges to 100 % in about an hour and a half .",battery life,7.75,7.75,laptop_quad_dev_81,BATTERY#OPERATION_PERFORMANCE,incredible,eng_laptop_train_alltasks
"the battery life is incredible and literally lasts all day , not to mention it charges to 100 % in about an hour and a half .",battery life,6.5,6.5,laptop_quad_dev_81,POWERSUPPLY#OPERATIONPERFORMANCE,NULL,eng_laptop_train_alltasks
linux is a fairly light os depending on the distro you use .,linux,6.88,7.0,laptop_quad_dev_82,OS#DESIGN_FEATURES,fairly light,eng_laptop_train_alltasks
linux is a fairly light os depending on the distro you use .,os,7.0,7.12,laptop_quad_dev_82,OS#DESIGN_FEATURES,fairly light,eng_laptop_train_alltasks
there is a lot of ' bang for your buck ' in the lenovo ideapad 320 .,lenovo ideapad 320,5.62,5.62,laptop_quad_dev_83,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
low rpm hdd .,hdd,3.0,5.0,laptop_quad_dev_84,HARDDISK#OPERATIONPERFORMANCE,low,eng_laptop_train_alltasks
my only fair complaint is that it occasionally restarts itself without warning ( usually no more than once every day or two ) .,NULL,2.9,6.9,laptop_quad_dev_85,LAPTOP#OPERATION_PERFORMANCE,complaint,eng_laptop_train_alltasks
excellent laptop good speed on uploads and download .,laptop,8.17,8.33,laptop_quad_dev_86,LAPTOP#GENERAL,excellent,eng_laptop_train_alltasks
excellent laptop good speed on uploads and download .,laptop,6.83,7.0,laptop_quad_dev_86,LAPTOP#OPERATION_PERFORMANCE,good,eng_laptop_train_alltasks
love the screen resolution .,screen resolution,7.2,7.2,laptop_quad_dev_87,DISPLAY#OPERATION_PERFORMANCE,love,eng_laptop_train_alltasks
a good product !,product,7.5,7.25,laptop_quad_dev_88,LAPTOP#GENERAL,good,eng_laptop_train_alltasks
thanks for the good quality !,NULL,7.83,7.5,laptop_quad_dev_89,LAPTOP#QUALITY,good,eng_laptop_train_alltasks
light thin best price power laptop,laptop,6.38,6.12,laptop_quad_dev_90,LAPTOP#DESIGN_FEATURES,light,eng_laptop_train_alltasks
light thin best price power laptop,laptop,6.5,6.25,laptop_quad_dev_90,LAPTOP#DESIGN_FEATURES,thin,eng_laptop_train_alltasks
light thin best price power laptop,laptop,6.88,6.38,laptop_quad_dev_90,LAPTOP#PRICE,best,eng_laptop_train_alltasks
love this so much !,NULL,8.12,8.12,laptop_quad_dev_91,LAPTOP#GENERAL,love,eng_laptop_train_alltasks
"at a black friday price , this computers specs could not be beat for the value to dollar performance ratio .",computers specs,5.75,5.5,laptop_quad_dev_92,LAPTOP#PRICE,NULL,eng_laptop_train_alltasks
"overall , this was a good buy and i still love my purchase nonetheless .",NULL,7.17,6.83,laptop_quad_dev_93,LAPTOP#GENERAL,good,eng_laptop_train_alltasks
"overall , this was a good buy and i still love my purchase nonetheless .",NULL,7.33,7.33,laptop_quad_dev_93,LAPTOP#GENERAL,still love,eng_laptop_train_alltasks
"i ' m using it mainly to store movies , and the 1 tb drive is nice .",drive,7.0,6.8,laptop_quad_dev_94,HARD_DISK#GENERAL,nice,eng_laptop_train_alltasks
nice keyboard .,keyboard,6.62,6.88,laptop_quad_dev_95,KEYBOARD#GENERAL,nice,eng_laptop_train_alltasks
i have always loved loved the kindles .,kindles,8.12,8.0,laptop_quad_dev_96,LAPTOP#GENERAL,always loved,eng_laptop_train_alltasks
i have always loved loved the kindles .,kindles,7.38,7.25,laptop_quad_dev_96,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
my only complaint is that the mouse keypad is a little big .,mouse keypad,3.88,6.0,laptop_quad_dev_97,MOUSE#DESIGN_FEATURES,complaint,eng_laptop_train_alltasks
my only complaint is that the mouse keypad is a little big .,mouse keypad,3.75,6.0,laptop_quad_dev_97,MOUSE#DESIGN_FEATURES,a little big,eng_laptop_train_alltasks
"so , i have had this laptop for almost a week and have put it through the ringer .",laptop,5.9,5.9,laptop_quad_dev_98,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
only thing i really didn ' t like about this was how quickly the battery drained .,battery,2.9,5.1,laptop_quad_dev_99,BATTERY#OPERATION_PERFORMANCE,' t like,eng_laptop_train_alltasks
i have n ' t used it much for gaming but i imagine it works fine .,NULL,6.0,6.0,laptop_quad_dev_100,LAPTOP#OPERATION_PERFORMANCE,fine,eng_laptop_train_alltasks
my kids have played roblox and minecraft on it along with fortnite so i think it can handle online gaming pretty good .,NULL,7.33,7.17,laptop_quad_dev_101,LAPTOP#OPERATION_PERFORMANCE,pretty good,eng_laptop_train_alltasks
if you ' re big on aesthetics then you ' ll love the look .,look,6.88,7.0,laptop_quad_dev_102,LAPTOP#DESIGN_FEATURES,love,eng_laptop_train_alltasks
i will never use another microsoft program as long as i live .,microsoft program,4.5,4.5,laptop_quad_dev_103,SOFTWARE#GENERAL,NULL,eng_laptop_train_alltasks
just a home pc laptop that works very well .,home pc laptop,6.75,6.5,laptop_quad_dev_104,LAPTOP#OPERATION_PERFORMANCE,very well,eng_laptop_train_alltasks
"it has a full size keyboard , a number pad , a camera , and great big screen !",keyboard,8.0,8.17,laptop_quad_dev_105,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
"it has a full size keyboard , a number pad , a camera , and great big screen !",number pad,8.33,8.5,laptop_quad_dev_105,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
"it has a full size keyboard , a number pad , a camera , and great big screen !",camera,8.33,8.5,laptop_quad_dev_105,KEYBOARD#DESIGN_FEATURES,NULL,eng_laptop_train_alltasks
"it has a full size keyboard , a number pad , a camera , and great big screen !",screen,8.17,8.17,laptop_quad_dev_105,DISPLAY#DESIGN_FEATURES,great,eng_laptop_train_alltasks
"it has a full size keyboard , a number pad , a camera , and great big screen !",screen,8.17,8.0,laptop_quad_dev_105,DISPLAY#DESIGN_FEATURES,big,eng_laptop_train_alltasks
this is just perfect .,NULL,8.25,8.12,laptop_quad_dev_106,LAPTOP#GENERAL,just perfect,eng_laptop_train_alltasks
very happy with this laptop although not a fan of windows 10 .,laptop,7.62,7.75,laptop_quad_dev_107,LAPTOP#GENERAL,very happy,eng_laptop_train_alltasks
very happy with this laptop although not a fan of windows 10 .,windows 10,6.38,6.38,laptop_quad_dev_107,OS#GENERAL,NULL,eng_laptop_train_alltasks
navigates well .,navigates,7.0,7.0,laptop_quad_dev_108,OUTOFSCOPE#GENERAL,well,eng_laptop_train_alltasks
"using it for doing programming , app development , and electronics projects .",NULL,5.62,5.38,laptop_quad_dev_109,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
so far i ' m enjoying it .,NULL,6.88,6.75,laptop_quad_dev_110,LAPTOP#GENERAL,enjoying,eng_laptop_train_alltasks
it is very good for the price .,NULL,7.5,7.0,laptop_quad_dev_111,LAPTOP#PRICE,very good,eng_laptop_train_alltasks
"but , until that time , this review stands as : do not buy if your care about the display ' s life .",display ' s life,4.5,4.5,laptop_quad_dev_112,DISPLAY#GENERAL,NULL,eng_laptop_train_alltasks
"so android is fun for tablet features , but its like embedding an android inside , without letting android apps out to utilize the full abilities of the chromium system .",android,6.83,6.83,laptop_quad_dev_113,OS#GENERAL,fun,eng_laptop_train_alltasks
"so android is fun for tablet features , but its like embedding an android inside , without letting android apps out to utilize the full abilities of the chromium system .",android,5.33,5.17,laptop_quad_dev_113,OS#GENERAL,NULL,eng_laptop_train_alltasks
google is expecting to add that in sometime in the next year .,google,4.75,5.12,laptop_quad_dev_114,COMPANY#GENERAL,NULL,eng_laptop_train_alltasks
i was skeptical ordering this because of the conflicting reviews .,NULL,4.5,5.33,laptop_quad_dev_115,LAPTOP#GENERAL,skeptical,eng_laptop_train_alltasks
it keep going off on sleep mode without any way to wake it up .,NULL,5.0,5.0,laptop_quad_dev_116,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
which is really sad because in the time i could actually use the chromebook i absolutely loved it .,chromebook,7.12,7.0,laptop_quad_dev_117,LAPTOP#GENERAL,absolutely loved,eng_laptop_train_alltasks
which is really sad because in the time i could actually use the chromebook i absolutely loved it .,chromebook,4.0,6.5,laptop_quad_dev_117,LAPTOP#GENERAL,really sad,eng_laptop_train_alltasks
"i tried it , and it is very limited for the current price of $ 550 .",NULL,3.33,5.67,laptop_quad_dev_118,LAPTOP#OPERATION_PERFORMANCE,very limited,eng_laptop_train_alltasks
"many apps aren ' t compatible and even the ones that work , they look awful .",apps,4.0,7.0,laptop_quad_dev_119,SOFTWARE#OPERATION_PERFORMANCE,awful,eng_laptop_train_alltasks
another expensive & poorly executed samsung product .,samsung product,2.12,7.88,laptop_quad_dev_120,LAPTOP#PRICE,expensive,eng_laptop_train_alltasks
another expensive & poorly executed samsung product .,samsung product,1.88,8.12,laptop_quad_dev_120,LAPTOP#OPERATION_PERFORMANCE,poorly,eng_laptop_train_alltasks
"thankfully , this time , acer has gotten that part right .",acer,7.5,7.67,laptop_quad_dev_121,COMPANY#GENERAL,thankfully,eng_laptop_train_alltasks
"things are less clear here ; the toshiba again has better performance , and uses a real ssd , but it has less impressive build quality and even less impressive materials ; it does offer a backlit keyboard and an even nicer screen , still the nicest of these three .",toshiba,7.33,7.33,laptop_quad_dev_122,LAPTOP#OPERATION_PERFORMANCE,better,eng_laptop_train_alltasks
"things are less clear here ; the toshiba again has better performance , and uses a real ssd , but it has less impressive build quality and even less impressive materials ; it does offer a backlit keyboard and an even nicer screen , still the nicest of these three .",build quality,4.83,5.5,laptop_quad_dev_122,LAPTOP#QUALITY,less impressive,eng_laptop_train_alltasks
"things are less clear here ; the toshiba again has better performance , and uses a real ssd , but it has less impressive build quality and even less impressive materials ; it does offer a backlit keyboard and an even nicer screen , still the nicest of these three .",screen,6.83,6.67,laptop_quad_dev_122,DISPLAY#GENERAL,even nicer,eng_laptop_train_alltasks
"i only mention this because , in my opinion , you ' re getting about $ 300 worth of performance here ; anyone telling you this device runs like a $ 500 or $ 800 computer is exaggerating .",device,3.38,6.25,laptop_quad_dev_123,LAPTOP#PRICE,exaggerating,eng_laptop_train_alltasks
"for home users , these cheap machines fit many use cases from casual browsing and two - screening , to watching videos and calling family .",machines,6.5,5.5,laptop_quad_dev_124,LAPTOP#PRICE,cheap,eng_laptop_train_alltasks
"for home users , these cheap machines fit many use cases from casual browsing and two - screening , to watching videos and calling family .",machines,5.75,5.25,laptop_quad_dev_124,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
"as a 5 - year chromebook veteran , i ' ve been waiting for this machine .",machine,6.3,6.3,laptop_quad_dev_125,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
"the processor on this chromebook is one of the best you can get on a chromebook at this price ( i did plenty of research ) , but you start to notice a lag when you have more than 3 browsers open at once .",processor,8.0,7.67,laptop_quad_dev_126,CPU#PRICE,best,eng_laptop_train_alltasks
"the processor on this chromebook is one of the best you can get on a chromebook at this price ( i did plenty of research ) , but you start to notice a lag when you have more than 3 browsers open at once .",processor,5.5,4.5,laptop_quad_dev_126,CPU#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
